Reg_No,Make,Model_1,Model,Variant_1,Variant,Year,Transaction_Year,Sold_Price,Out_Kms,Ownership,City
71,MARUTI SUZUKI,Swift Dzire,Swift Dzire,VXI,VXI,2011,2014,430000,25429.15811,1,BANGALORE
72,MARUTI SUZUKI,Swift Dzire,Swift Dzire,VXI,VXI,2011,2014,444000,25429.15811,1,BANGALORE
693,MARUTI SUZUKI,800,800,AC,AC,2005,2014,116500,73921.97126,2,BANGALORE
694,MARUTI SUZUKI,800,800,AC,AC,2005,2014,120000,73921.97126,2,BANGALORE
269,MARUTI SUZUKI,A-Star,A-Star,VXI,VXI,2009,2014,249750,41984,2,BANGALORE
270,MARUTI SUZUKI,A-Star,A-Star,VXI,VXI,2009,2014,275000,41984,2,BANGALORE
953,MARUTI SUZUKI,Zen,Zen,LX,LX,1996,2014,40000,146069.8152,4,BANGALORE
954,MARUTI SUZUKI,Zen,Zen,LX,LX,1996,2014,50000,146069.8152,4,BANGALORE
73,CHEVROLET,Spark,Spark,E 1.0,E 1.0,2011,2014,220000,26130.04791,1,BANGALORE
74,CHEVROLET,Spark,Spark,E 1.0,E 1.0,2011,2014,227550,26130.04791,1,BANGALORE
483,MARUTI SUZUKI,Swift,Swift,VXI,VXI,2007,2014,260000,58130.04791,2,BANGALORE
484,MARUTI SUZUKI,Swift,Swift,VXI,VXI,2007,2014,276390,58130.04791,2,BANGALORE
25,MARUTI SUZUKI,Ertiga,Ertiga,VXI,VXI,2012,2014,607170,18135.52362,1,BANGALORE
26,MARUTI SUZUKI,Ertiga,Ertiga,VXI,VXI,2012,2014,655000,18135.52362,1,BANGALORE
271,MARUTI SUZUKI,Swift,Swift,VXI,VXI,2009,2014,352980,42140.99931,2,BANGALORE
272,MARUTI SUZUKI,Swift,Swift,VXI,VXI,2009,2014,393500,42140.99931,2,BANGALORE
151,MARUTI SUZUKI,Alto,Alto,LXI,LXI,2010,2014,216450,34146.47502,1,BANGALORE
152,MARUTI SUZUKI,Alto,Alto,LXI,LXI,2010,2014,235000,34146.47502,1,BANGALORE
485,MARUTI SUZUKI,Alto,Alto,LX,LX,2007,2014,128000,58173.85353,2,BANGALORE
486,MARUTI SUZUKI,Alto,Alto,LX,LX,2007,2014,135000,58173.85353,2,BANGALORE
579,MARUTI SUZUKI,Alto,Alto,LXI,LXI,2006,2014,140000,66190.28063,2,BANGALORE
580,MARUTI SUZUKI,Alto,Alto,LXI,LXI,2006,2014,150000,66190.28063,2,BANGALORE
273,MARUTI SUZUKI,A-Star,A-Star,VXI,VXI,2009,2014,216450,42206.70774,2,BANGALORE
274,MARUTI SUZUKI,A-Star,A-Star,VXI,VXI,2009,2014,220000,42206.70774,2,BANGALORE
775,TATA,INDICA V2,INDICA V2,DLS,DLS,2004,2014,60000,123334.7022,3,BANGALORE
